Created date (UTC),Amount,Currency,Captured,Decline Reason,Description,Fee,Status,Seller Message,Taxes On Fee,Customer Email,walletId (metadata),rechargeType (metadata),entityType (metadata),amount (metadata),companyId (metadata),entityId (metadata),currency (metadata),booking_id (metadata),user_id (metadata),listing id (metadata),booking id (metadata),trip end (metadata),trip start (metadata),source (metadata),listing url (metadata),type (metadata),booking url (metadata),Sequential ID (metadata),Donation Post ID (metadata),Email (metadata)
15/09/2025 7:59,50,usd,FALSE,do_not_honor,Subscription update,0,Failed,The bank returned the decline code `do_not_honor`.,0,user001@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 22:29,50,usd,FALSE,generic_decline,Subscription update,0,Failed,The bank did not return any further details with this decline.,0,user002@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 19:17,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user003@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 18:58,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user004@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 15:58,100,usd,TRUE,,Subscription update,7.84,Paid,Payment complete.,0,user005@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 14:53,50,usd,FALSE,insufficient_funds,Subscription update,0,Failed,The bank returned the decline code `insufficient_funds`.,0,user006@example.com,,,,,,,,,,,,,,,,,,,,
14/09/2025 11:12,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user007@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 19:18,100,usd,,,Subscription update,,canceled,,,user008@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 17:45,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user009@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 17:14,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user010@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 16:23,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user011@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 15:04,50,usd,,,Subscription update,,requires_payment_method,,,user012@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 14:51,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user013@example.com,,,,,,,,,,,,,,,,,,,,
13/09/2025 13:15,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user014@example.com,,,,,,,,,,,,,,,,,,,,
12/09/2025 23:35,50,usd,TRUE,,Subscription creation,4.65,Paid,Payment complete.,0,user015@example.com,,,,,,,,,,,,,,,,,,,,
12/09/2025 20:01,50,usd,TRUE,,Subscription creation,4.65,Paid,Payment complete.,0,user016@example.com,,,,,,,,,,,,,,,,,,,,
12/09/2025 18:43,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user017@example.com,,,,,,,,,,,,,,,,,,,,
12/09/2025 17:37,50,usd,,,Subscription update,,requires_payment_method,,,user018@example.com,,,,,,,,,,,,,,,,,,,,
12/09/2025 13:18,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user019@example.com,,,,,,,,,,,,,,,,,,,,
11/09/2025 21:23,100,usd,TRUE,,Subscription update,6.1,Paid,Payment complete.,0,user020@example.com,,,,,,,,,,,,,,,,,,,,
11/09/2025 19:11,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user021@example.com,,,,,,,,,,,,,,,,,,,,
11/09/2025 18:59,50,usd,FALSE,do_not_honor,Subscription update,0,Failed,The bank returned the decline code `do_not_honor`.,0,user001@example.com,,,,,,,,,,,,,,,,,,,,
10/09/2025 18:12,100,usd,FALSE,insufficient_funds,Subscription update,0,Failed,The bank returned the decline code `insufficient_funds`.,0,user008@example.com,,,,,,,,,,,,,,,,,,,,
10/09/2025 17:04,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user022@example.com,,,,,,,,,,,,,,,,,,,,
10/09/2025 4:11,50,usd,TRUE,,Subscription creation,4.65,Paid,Payment complete.,0,user006@example.com,,,,,,,,,,,,,,,,,,,,
09/09/2025 23:18,50,usd,TRUE,,Subscription creation,4.2,Paid,Payment complete.,0,user023@example.com,,,,,,,,,,,,,,,,,,,,
09/09/2025 20:30,50,usd,TRUE,,Subscription update,4.65,Paid,Payment complete.,0,user024@example.com,,,,,,,,,,,,,,,,,,,,
09/09/2025 18:44,100,usd,TRUE,,Subscription update,7.84,Paid,Payment complete.,0,user025@example.com,,,,,,,,,,,,,,,,,,,,
